"beta_prior","tau_prior","mean_pred_prob"
"normal(0, 2)","normal+(0, 5)",0.49537037037037
"normal(0, 2)","normal+(0, 10)",0.49537037037037
"normal(0, 2)","normal+(0, 20)",0.407407407407407
"normal(0, 1)","normal+(0, 5)",0.643518518518518
"normal(0, 1)","normal+(0, 10)",0.50462962962963
"normal(0, 1)","normal+(0, 20)",0.472222222222222
"normal(0, 1.5)","normal+(0, 5)",0.717592592592593
"normal(0, 1.5)","normal+(0, 10)",0.5
"normal(0, 1.5)","normal+(0, 20)",0.574074074074074
"normal(0, 2)","normal+(0, 5)",0.546296296296296
"normal(0, 2)","normal+(0, 10)",0.606481481481482
"normal(0, 2)","normal+(0, 20)",0.50462962962963
"normal(0, 1)","normal+(0, 5)",0.523148148148148
"normal(0, 1)","normal+(0, 10)",0.625
"normal(0, 1)","normal+(0, 20)",0.5
"normal(0, 1.5)","normal+(0, 5)",0.648148148148148
"normal(0, 1.5)","normal+(0, 10)",0.592592592592593
"normal(0, 1.5)","normal+(0, 20)",0.75
"normal(0, 2)","normal+(0, 5)",0.449074074074074
"normal(0, 2)","normal+(0, 10)",0.537037037037037
"normal(0, 2)","normal+(0, 20)",0.546296296296296
"normal(0, 1)","normal+(0, 5)",0.912037037037037
"normal(0, 1)","normal+(0, 10)",0.287037037037037
"normal(0, 1)","normal+(0, 20)",0.490740740740741
"normal(0, 1.5)","normal+(0, 5)",0.337962962962963
"normal(0, 1.5)","normal+(0, 10)",0.314814814814815
"normal(0, 1.5)","normal+(0, 20)",0.763888888888889
"normal(0, 2)","normal+(0, 5)",0.435185185185185
"normal(0, 2)","normal+(0, 10)",0.87037037037037
"normal(0, 2)","normal+(0, 20)",0.587962962962963
"normal(0, 1)","normal+(0, 5)",0.361111111111111
"normal(0, 1)","normal+(0, 10)",0.152777777777778
"normal(0, 1)","normal+(0, 20)",0.333333333333333
"normal(0, 1.5)","normal+(0, 5)",0.333333333333333
"normal(0, 1.5)","normal+(0, 10)",0.550925925925926
"normal(0, 1.5)","normal+(0, 20)",0.800925925925926
"normal(0, 2)","normal+(0, 5)",0.472222222222222
"normal(0, 2)","normal+(0, 10)",0.412037037037037
"normal(0, 2)","normal+(0, 20)",0.537037037037037
"normal(0, 1)","normal+(0, 5)",0.601851851851852
"normal(0, 1)","normal+(0, 10)",0.458333333333333
"normal(0, 1)","normal+(0, 20)",0.611111111111111
"normal(0, 1.5)","normal+(0, 5)",0.180555555555556
"normal(0, 1.5)","normal+(0, 10)",0.476851851851852
"normal(0, 1.5)","normal+(0, 20)",0.546296296296296
"normal(0, 2)","normal+(0, 5)",0.449074074074074
"normal(0, 2)","normal+(0, 10)",0.467592592592593
"normal(0, 2)","normal+(0, 20)",0.574074074074074
"normal(0, 1)","normal+(0, 5)",0.388888888888889
"normal(0, 1)","normal+(0, 10)",0.425925925925926
"normal(0, 1)","normal+(0, 20)",0.509259259259259
"normal(0, 1.5)","normal+(0, 5)",0.722222222222222
"normal(0, 1.5)","normal+(0, 10)",0.37037037037037
"normal(0, 1.5)","normal+(0, 20)",0.328703703703704
"normal(0, 2)","normal+(0, 5)",0.805555555555556
"normal(0, 2)","normal+(0, 10)",0.490740740740741
"normal(0, 2)","normal+(0, 20)",0.699074074074074
"normal(0, 1)","normal+(0, 5)",0.615740740740741
"normal(0, 1)","normal+(0, 10)",0.615740740740741
"normal(0, 1)","normal+(0, 20)",0.444444444444444
"normal(0, 1.5)","normal+(0, 5)",0.703703703703704
"normal(0, 1.5)","normal+(0, 10)",0.347222222222222
"normal(0, 1.5)","normal+(0, 20)",0.342592592592593
"normal(0, 2)","normal+(0, 5)",0.467592592592593
"normal(0, 2)","normal+(0, 10)",0.310185185185185
"normal(0, 2)","normal+(0, 20)",0.263888888888889
"normal(0, 1)","normal+(0, 5)",0.393518518518519
"normal(0, 1)","normal+(0, 10)",0.666666666666667
"normal(0, 1)","normal+(0, 20)",0.689814814814815
"normal(0, 1.5)","normal+(0, 5)",0.578703703703704
"normal(0, 1.5)","normal+(0, 10)",0.467592592592593
"normal(0, 1.5)","normal+(0, 20)",0.384259259259259
"normal(0, 2)","normal+(0, 5)",0.5
"normal(0, 2)","normal+(0, 10)",0.425925925925926
"normal(0, 2)","normal+(0, 20)",0.319444444444444
"normal(0, 1)","normal+(0, 5)",0.273148148148148
